,START_DATE,SIMULATION_START_DATE,XTIME units base,time[1],time[-1]
wrfout_d02_2005-12-31_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,12/31/05 00:00,12/31/05 23:00
wrfout_d02_2006-01-01_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/1/06 00:00,1/1/06 23:00
wrfout_d02_2006-01-02_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/2/06 00:00,1/2/06 23:00
wrfout_d02_2006-01-03_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/3/06 00:00,1/3/06 23:00
wrfout_d02_2006-01-04_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/4/06 00:00,1/4/06 23:00
wrfout_d02_2006-01-05_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/5/06 00:00,1/5/06 23:00
wrfout_d02_2006-01-06_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/6/06 00:00,1/6/06 23:00
wrfout_d02_2006-01-07_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/7/06 00:00,1/7/06 23:00
wrfout_d02_2006-01-08_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/8/06 00:00,1/8/06 23:00
wrfout_d02_2006-01-09_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/9/06 00:00,1/9/06 23:00
wrfout_d02_2006-01-10_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/10/06 00:00,1/10/06 23:00
wrfout_d02_2006-01-11_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/11/06 00:00,1/11/06 23:00
wrfout_d02_2006-01-12_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/12/06 00:00,1/12/06 23:00
wrfout_d02_2006-01-13_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/13/06 00:00,1/13/06 23:00
wrfout_d02_2006-01-14_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/14/06 00:00,1/14/06 23:00
wrfout_d02_2006-01-15_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/15/06 00:00,1/15/06 23:00
wrfout_d02_2006-01-16_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/16/06 00:00,1/16/06 23:00
wrfout_d02_2006-01-17_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/17/06 00:00,1/17/06 23:00
wrfout_d02_2006-01-18_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/18/06 00:00,1/18/06 23:00
wrfout_d02_2006-01-19_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/19/06 00:00,1/19/06 23:00
wrfout_d02_2006-01-20_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/20/06 00:00,1/20/06 23:00
wrfout_d02_2006-01-21_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/21/06 00:00,1/21/06 23:00
wrfout_d02_2006-01-22_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/22/06 00:00,1/22/06 23:00
wrfout_d02_2006-01-23_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/23/06 00:00,1/23/06 23:00
wrfout_d02_2006-01-24_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/24/06 00:00,1/24/06 23:00
wrfout_d02_2006-01-25_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/25/06 00:00,1/25/06 23:00
wrfout_d02_2006-01-26_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/26/06 00:00,1/26/06 23:00
wrfout_d02_2006-01-27_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/27/06 00:00,1/27/06 23:00
wrfout_d02_2006-01-28_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/28/06 00:00,1/28/06 23:00
wrfout_d02_2006-01-29_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/29/06 00:00,1/29/06 23:00
wrfout_d02_2006-01-30_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/30/06 00:00,1/30/06 23:00
wrfout_d02_2006-01-31_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,1/31/06 00:00,1/31/06 23:00
wrfout_d02_2006-02-01_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/1/06 00:00,2/1/06 23:00
wrfout_d02_2006-02-02_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/2/06 00:00,2/2/06 23:00
wrfout_d02_2006-02-03_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/3/06 00:00,2/3/06 23:00
wrfout_d02_2006-02-04_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/4/06 00:00,2/4/06 23:00
wrfout_d02_2006-02-05_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/5/06 00:00,2/5/06 23:00
wrfout_d02_2006-02-06_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/6/06 00:00,2/6/06 23:00
wrfout_d02_2006-02-07_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/7/06 00:00,2/7/06 23:00
wrfout_d02_2006-02-08_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/8/06 00:00,2/8/06 23:00
wrfout_d02_2006-02-09_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/9/06 00:00,2/9/06 23:00
wrfout_d02_2006-02-10_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/10/06 00:00,2/10/06 23:00
wrfout_d02_2006-02-11_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/11/06 00:00,2/11/06 23:00
wrfout_d02_2006-02-12_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/12/06 00:00,2/12/06 23:00
wrfout_d02_2006-02-13_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/13/06 00:00,2/13/06 23:00
wrfout_d02_2006-02-14_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/14/06 00:00,2/14/06 23:00
wrfout_d02_2006-02-15_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/15/06 00:00,2/15/06 23:00
wrfout_d02_2006-02-16_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/16/06 00:00,2/16/06 23:00
wrfout_d02_2006-02-17_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/17/06 00:00,2/17/06 23:00
wrfout_d02_2006-02-18_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/18/06 00:00,2/18/06 23:00
wrfout_d02_2006-02-19_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/19/06 00:00,2/19/06 23:00
wrfout_d02_2006-02-20_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/20/06 00:00,2/20/06 23:00
wrfout_d02_2006-02-21_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/21/06 00:00,2/21/06 23:00
wrfout_d02_2006-02-22_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/22/06 00:00,2/22/06 23:00
wrfout_d02_2006-02-23_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/23/06 00:00,2/23/06 23:00
wrfout_d02_2006-02-24_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/24/06 00:00,2/24/06 23:00
wrfout_d02_2006-02-25_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/25/06 00:00,2/25/06 23:00
wrfout_d02_2006-02-26_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/26/06 00:00,2/26/06 23:00
wrfout_d02_2006-02-27_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/27/06 00:00,2/27/06 23:00
wrfout_d02_2006-02-28_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,2/28/06 00:00,2/28/06 23:00
wrfout_d02_2006-03-01_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/1/06 00:00,3/1/06 23:00
wrfout_d02_2006-03-02_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/2/06 00:00,3/2/06 23:00
wrfout_d02_2006-03-03_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/3/06 00:00,3/3/06 23:00
wrfout_d02_2006-03-04_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/4/06 00:00,3/4/06 23:00
wrfout_d02_2006-03-05_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/5/06 00:00,3/5/06 23:00
wrfout_d02_2006-03-06_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/6/06 00:00,3/6/06 23:00
wrfout_d02_2006-03-07_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/7/06 00:00,3/7/06 23:00
wrfout_d02_2006-03-08_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/8/06 00:00,3/8/06 23:00
wrfout_d02_2006-03-09_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/9/06 00:00,3/9/06 23:00
wrfout_d02_2006-03-10_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/10/06 00:00,3/10/06 23:00
wrfout_d02_2006-03-11_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/11/06 00:00,3/11/06 23:00
wrfout_d02_2006-03-12_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/12/06 00:00,3/12/06 23:00
wrfout_d02_2006-03-13_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/13/06 00:00,3/13/06 23:00
wrfout_d02_2006-03-14_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/14/06 00:00,3/14/06 23:00
wrfout_d02_2006-03-15_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/15/06 00:00,3/15/06 23:00
wrfout_d02_2006-03-16_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/16/06 00:00,3/16/06 23:00
wrfout_d02_2006-03-17_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/17/06 00:00,3/17/06 23:00
